Time Bucket (America/Chicago),Casa1-Mains_C (kWatts)
01/07/2023 20:00:00,0.1307
01/07/2023 20:15:00,0.1245
01/07/2023 20:30:00,0.2041
01/07/2023 20:45:00,0.1364
01/07/2023 21:00:00,0.0952
01/07/2023 21:15:00,0.0941
01/07/2023 21:30:00,0.1709
01/07/2023 21:45:00,0.2881
01/07/2023 22:00:00,0.2825
01/07/2023 22:15:00,0.1398
01/07/2023 22:30:00,0.1192
01/07/2023 22:45:00,0.1185
01/07/2023 23:00:00,0.1290
01/07/2023 23:15:00,0.1978
01/07/2023 23:30:00,0.0969
01/07/2023 23:45:00,0.0853
01/08/2023 00:00:00,0.1128
01/08/2023 00:15:00,0.2077
01/08/2023 00:30:00,0.2705
01/08/2023 00:45:00,0.3183
01/08/2023 01:00:00,0.2513
01/08/2023 01:15:00,0.1987
01/08/2023 01:30:00,0.1462
01/08/2023 01:45:00,0.0925
01/08/2023 02:00:00,0.0845
01/08/2023 02:15:00,0.0744
01/08/2023 02:30:00,0.1084
01/08/2023 02:45:00,0.1730
01/08/2023 03:00:00,0.1483
01/08/2023 03:15:00,0.1928
01/08/2023 03:30:00,0.1806
01/08/2023 03:45:00,0.0899
01/08/2023 04:00:00,0.1343
01/08/2023 04:15:00,0.1376
01/08/2023 04:30:00,0.0716
01/08/2023 04:45:00,0.0716
01/08/2023 05:00:00,0.0716
01/08/2023 05:15:00,0.0718
01/08/2023 05:30:00,0.1422
01/08/2023 05:45:00,0.1361
01/08/2023 06:00:00,0.1473
01/08/2023 06:15:00,0.1989
01/08/2023 06:30:00,0.1838
01/08/2023 06:45:00,0.0808
01/08/2023 07:00:00,0.1348
01/08/2023 07:15:00,0.1289
01/08/2023 07:30:00,0.0113
01/08/2023 07:45:00,0.0149
01/08/2023 08:00:00,0.0211
01/08/2023 08:15:00,0.0205
01/08/2023 08:30:00,0.0448
01/08/2023 08:45:00,0.1350
01/08/2023 09:00:00,0.0886
01/08/2023 09:15:00,0.1597
01/08/2023 09:30:00,0.1451
01/08/2023 09:45:00,0.0600
01/08/2023 10:00:00,0.1122
01/08/2023 10:15:00,0.0845
01/08/2023 10:30:00,0.0419
01/08/2023 10:45:00,0.0652
01/08/2023 11:00:00,0.1675
01/08/2023 11:15:00,0.1381
01/08/2023 11:30:00,0.0719
01/08/2023 11:45:00,0.0435
01/08/2023 12:00:00,0.1576
01/08/2023 12:15:00,0.1621
01/08/2023 12:30:00,0.1204
01/08/2023 12:45:00,0.0360
01/08/2023 13:00:00,0.0940
01/08/2023 13:15:00,0.0546
01/08/2023 13:30:00,0.0219
01/08/2023 13:45:00,0.0217
01/08/2023 14:00:00,0.0700
01/08/2023 14:15:00,0.1015
01/08/2023 14:30:00,0.0258
01/08/2023 14:45:00,0.0253
01/08/2023 15:00:00,0.0835
01/08/2023 15:15:00,0.2331
01/08/2023 15:30:00,0.1546
01/08/2023 15:45:00,0.0432
01/08/2023 16:00:00,0.0156
01/08/2023 16:15:00,0.0271
01/08/2023 16:30:00,0.1228
01/08/2023 16:45:00,0.0156
01/08/2023 17:00:00,0.0155
01/08/2023 17:15:00,0.0156
01/08/2023 17:30:00,0.0430
01/08/2023 17:45:00,0.1074
01/08/2023 18:00:00,0.1159
01/08/2023 18:15:00,0.1311
01/08/2023 18:30:00,0.0980
01/08/2023 18:45:00,0.0589
01/08/2023 19:00:00,0.1131
01/08/2023 19:15:00,0.0155
01/08/2023 19:30:00,0.0155
01/08/2023 19:45:00,0.0563
01/08/2023 20:00:00,0.1680
01/08/2023 20:15:00,0.1688
01/08/2023 20:30:00,0.2250
01/08/2023 20:45:00,0.2990
01/08/2023 21:00:00,0.3753
01/08/2023 21:15:00,0.4397
01/08/2023 21:30:00,0.2718
01/08/2023 21:45:00,0.2097
01/08/2023 22:00:00,0.1949
01/08/2023 22:15:00,0.1944
01/08/2023 22:30:00,0.2753
01/08/2023 22:45:00,0.2333
01/08/2023 23:00:00,0.2048
01/08/2023 23:15:00,0.1923
01/08/2023 23:30:00,0.1883
01/08/2023 23:45:00,0.3302
01/09/2023 00:00:00,0.4058
01/09/2023 00:15:00,0.2619
