Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
01/24/2023 12:00:00,0.0001
01/24/2023 13:00:00,0.0000
01/24/2023 14:00:00,0.0036
01/24/2023 15:00:00,0.0001
01/24/2023 16:00:00,0.0000
01/24/2023 17:00:00,0.0005
01/24/2023 18:00:00,0.0000
01/24/2023 19:00:00,0.0000
01/24/2023 20:00:00,0.0363
01/24/2023 21:00:00,0.0209
01/24/2023 22:00:00,0.0384
01/24/2023 23:00:00,0.0259
01/25/2023 00:00:00,0.0110
01/25/2023 01:00:00,0.0040
01/25/2023 02:00:00,0.0000
01/25/2023 03:00:00,0.0000
01/25/2023 04:00:00,0.0000
01/25/2023 05:00:00,0.0007
01/25/2023 06:00:00,0.0023
01/25/2023 07:00:00,0.0004
01/25/2023 08:00:00,0.0004
01/25/2023 09:00:00,0.0000
01/25/2023 10:00:00,0.0000
01/25/2023 11:00:00,0.0008
01/25/2023 12:00:00,0.0000
01/25/2023 13:00:00,0.0018
01/25/2023 14:00:00,0.0003
01/25/2023 15:00:00,0.0029
01/25/2023 16:00:00,0.0270
01/25/2023 17:00:00,0.0041
01/25/2023 18:00:00,0.0000
01/25/2023 19:00:00,0.0000
01/25/2023 20:00:00,0.0377
01/25/2023 21:00:00,0.0485
01/25/2023 22:00:00,0.0261
01/25/2023 23:00:00,0.0271
01/26/2023 00:00:00,0.0000
01/26/2023 01:00:00,0.0000
01/26/2023 02:00:00,0.0004
01/26/2023 03:00:00,0.0002
01/26/2023 04:00:00,0.0021
01/26/2023 05:00:00,0.0000
01/26/2023 06:00:00,0.0115
01/26/2023 07:00:00,0.0219
01/26/2023 08:00:00,0.0141
01/26/2023 09:00:00,0.0000
01/26/2023 10:00:00,0.0000
01/26/2023 11:00:00,0.0004
01/26/2023 12:00:00,0.0001
01/26/2023 13:00:00,0.0000
01/26/2023 14:00:00,0.0000
01/26/2023 15:00:00,0.0002
01/26/2023 16:00:00,0.0015
01/26/2023 17:00:00,0.0000
01/26/2023 18:00:00,0.0001
01/26/2023 19:00:00,0.0012
01/26/2023 20:00:00,0.0014
01/26/2023 21:00:00,0.0237
01/26/2023 22:00:00,0.0318
01/26/2023 23:00:00,0.0114
01/27/2023 00:00:00,0.0000
01/27/2023 01:00:00,0.0000
01/27/2023 02:00:00,0.0000
01/27/2023 03:00:00,0.0001
01/27/2023 04:00:00,0.0000
01/27/2023 05:00:00,0.0003
01/27/2023 06:00:00,0.0148
01/27/2023 07:00:00,0.0008
01/27/2023 08:00:00,0.0002
01/27/2023 09:00:00,0.0001
01/27/2023 10:00:00,0.0001
01/27/2023 11:00:00,0.0002
01/27/2023 12:00:00,0.0301
01/27/2023 13:00:00,0.0514
01/27/2023 14:00:00,0.0351
01/27/2023 15:00:00,0.0019
01/27/2023 16:00:00,0.0000
01/27/2023 17:00:00,0.0000
01/27/2023 18:00:00,0.0035
01/27/2023 19:00:00,0.0019
01/27/2023 20:00:00,0.0247
01/27/2023 21:00:00,0.0409
01/27/2023 22:00:00,0.0346
01/27/2023 23:00:00,0.0138
01/28/2023 00:00:00,0.0049
01/28/2023 01:00:00,0.0000
01/28/2023 02:00:00,0.0001
01/28/2023 03:00:00,0.0000
01/28/2023 04:00:00,0.0000
01/28/2023 05:00:00,0.0002
01/28/2023 06:00:00,0.0003
01/28/2023 07:00:00,0.0012
01/28/2023 08:00:00,0.0091
